source_record_id,doi,source_title,source_year,formula_raw,formula_normalized,tc_value_k,tc_criterion,pressure_gpa,magnetic_field_t,sample_form,preparation_method,substrate
sc_atlas:4152,10.1002/adem.201600792,,2017,MgB₂,MgB2,26.0,unknown,0.0,0.0,thin_film,Molecular Beam Epitaxy; Nanofabrication & Exfoliation,Si
sc_atlas:4151,10.1002/adem.201600792,,2017,MgB₂,MgB2,36.0,unknown,0.0,0.0,thin_film,Molecular Beam Epitaxy; Nanofabrication & Exfoliation,Si
sc_atlas:4158,10.1002/adem.201900750,,2019,MgB₂,MgB2,37.8,onset,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:4155,10.1002/adem.201900750,,2019,MgB₂,MgB2,37.9,onset,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:4154,10.1002/adem.201900750,,2019,MgB₂,MgB2,38.1,onset,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:4153,10.1002/adem.201900750,,2019,MgB₂,MgB2,38.2,onset,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:18592,10.1002/adfm.202007960,,2021,NbIr2B2,NbIr2B2,7.18,unknown,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:18591,10.1002/adfm.202007960,,2021,NbIr2B2,NbIr2B2,7.2,unknown,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:18593,10.1002/adfm.202007960,,2021,NbIr2B2,NbIr2B2,7.24,midpoint,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:18594,10.1002/adfm.202007960,,2021,TaIr2B2,TaIr2B2,5.1,unknown,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:18595,10.1002/adfm.202007960,,2021,TaIr2B2,TaIr2B2,5.11,unknown,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:18596,10.1002/adfm.202007960,,2021,TaIr2B2,TaIr2B2,5.38,midpoint,0.0,0.0,polycrystal,Solid-State Reaction,
sc_atlas:4164,10.1002/adfm.202102917,,2021,FeSe₁₋ₓSₓ,FeS,4.7,onset,0.0,0.0,single_crystal,Flux Growth; Solution-based synthesis/processing,
sc_atlas:4159,10.1002/adfm.202102917,,2021,FeSe₁₋ₓSₓ,FeSe,8.0,onset,0.0,0.0,single_crystal,Flux Growth; Solution-based synthesis/processing,
