source_record_id,doi,source_title,source_year,formula_raw,formula_normalized,tc_value_k,tc_criterion,pressure_gpa,magnetic_field_t,sample_form,preparation_method,substrate,competing_orders,gap_symmetry,pairing_mechanism,dopant_defect
sc_atlas:4152,10.1002/adem.201600792,,2017,MgB₂,MgB2,26.0,unknown,0.0,0.0,thin_film,Molecular Beam Epitaxy; Nanofabrication & Exfoliation,Si,,,,
sc_atlas:4151,10.1002/adem.201600792,,2017,MgB₂,MgB2,36.0,unknown,0.0,0.0,thin_film,Molecular Beam Epitaxy; Nanofabrication & Exfoliation,Si,,,,
sc_atlas:4158,10.1002/adem.201900750,,2019,MgB₂,MgB2,37.8,onset,0.0,0.0,polycrystal,Solid-State Reaction,,,,,
sc_atlas:4155,10.1002/adem.201900750,,2019,MgB₂,MgB2,37.9,onset,0.0,0.0,polycrystal,Solid-State Reaction,,,,,
sc_atlas:4154,10.1002/adem.201900750,,2019,MgB₂,MgB2,38.1,onset,0.0,0.0,polycrystal,Solid-State Reaction,,,,,
sc_atlas:4153,10.1002/adem.201900750,,2019,MgB₂,MgB2,38.2,onset,0.0,0.0,polycrystal,Solid-State Reaction,,,,,
sc_atlas:4164,10.1002/adfm.202102917,,2021,FeSe₁₋ₓSₓ,FeS,4.7,onset,0.0,0.0,single_crystal,Flux Growth; Solution-based synthesis/processing,,,,,"[""S""]"
sc_atlas:4159,10.1002/adfm.202102917,,2021,FeSe₁₋ₓSₓ,FeSe,8.0,onset,0.0,0.0,single_crystal,Flux Growth; Solution-based synthesis/processing,,,,,"[""S""]"
sc_atlas:4162,10.1002/adfm.202102917,,2021,FeSe₁₋ₓSₓ,FeSe0.65S0.35,26.0,zero,0.0,0.0,single_crystal,Flux Growth; Solution-based synthesis/processing,,,,,"[""S""]"
sc_atlas:4163,10.1002/adfm.202102917,,2021,FeSe₁₋ₓSₓ,FeSe0.65S0.35,37.5,onset,0.0,0.0,single_crystal,Flux Growth; Solution-based synthesis/processing,,,,,"[""S""]"
sc_atlas:4161,10.1002/adfm.202102917,,2021,FeSe₁₋ₓSₓ,FeSe0.65S0.35,38.0,onset,0.0,0.0,single_crystal,Flux Growth; Solution-based synthesis/processing,,,,,"[""S""]"
