source_record_id,article_feature_match_method,article_feature_match_conflict,article_feature_source,competing_orders,gap_symmetry,pairing_mechanism,dopant_defect,article_feature_any_available
sc_atlas:4152,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4151,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4158,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4155,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4154,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4153,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4164,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""S""]",1
sc_atlas:4159,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""S""]",1
sc_atlas:4162,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""S""]",1
sc_atlas:4163,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""S""]",1
sc_atlas:4161,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""S""]",1
sc_atlas:4160,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""S""]",1
sc_atlas:4167,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""lithium ions""]",1
sc_atlas:4168,doi_exact,,all_11200_article_features.xlsx:文章主表,,d_{xy} gap symmetry,,,1
sc_atlas:4169,doi_exact,,all_11200_article_features.xlsx:文章主表,Kondo effect,,,"[""Cr""]",1
sc_atlas:10,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,s-wave,electron-electron interactions,"[""S""]",1
sc_atlas:9,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,s-wave,electron-electron interactions,"[""S""]",1
sc_atlas:8,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,s-wave,electron-electron interactions,"[""S""]",1
sc_atlas:7,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,s-wave,electron-electron interactions,"[""S""]",1
sc_atlas:6,doi_exact,,all_11200_article_features.xlsx:文章主表,charge density wave,s-wave,electron-electron interactions,"[""S""]",1
sc_atlas:11,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Pr"",""oxygen vacancies""]",1
sc_atlas:12,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Pr"",""oxygen vacancies""]",1
sc_atlas:4170,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:1968,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:1967,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:1966,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:1969,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:1971,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:1970,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4178,doi_exact,,all_11200_article_features.xlsx:文章主表,antiferromagnetic order,,,,1
sc_atlas:4179,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4180,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4181,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4182,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4184,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""Bi""]",1
sc_atlas:4185,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4186,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4187,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""K""]",1
sc_atlas:4188,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""K""]",1
sc_atlas:4189,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4190,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4196,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""K""]",1
sc_atlas:4197,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4198,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,"[""B""]",1
sc_atlas:4200,doi_exact,,all_11200_article_features.xlsx:文章主表,,,metallicity and the flatness of the conduction bands near the Fermi level,"[""Na""]",1
sc_atlas:4199,doi_exact,,all_11200_article_features.xlsx:文章主表,,,metallicity and the flatness of the conduction bands near the Fermi level,"[""Na""]",1
sc_atlas:4202,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4203,doi_exact,,all_11200_article_features.xlsx:文章主表,,,phonon-mediated pairing,,1
sc_atlas:4205,doi_exact,,all_11200_article_features.xlsx:文章主表,ferromagnetic order,,,,1
sc_atlas:4206,doi_exact,,all_11200_article_features.xlsx:文章主表,ferromagnetic order,,,,1
sc_atlas:4204,doi_exact,,all_11200_article_features.xlsx:文章主表,ferromagnetic order,,,,1
sc_atlas:4214,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4213,doi_exact,,all_11200_article_features.xlsx:文章主表,,,,,0
sc_atlas:4215,doi_exact,,all_11200_article_features.xlsx:文章主表,spin density wave,"[""isotropic s-wave"",""$(s+g)$-wave""]","[""BCS-type mechanism"",""spin fluctuation theory""]",,1
sc_atlas:4216,doi_exact,,all_11200_article_features.xlsx:文章主表,spin density wave,"[""isotropic s-wave"",""$(s+g)$-wave""]","[""BCS-type mechanism"",""spin fluctuation theory""]",,1
sc_atlas:4219,doi_exact,,all_11200_article_features.xlsx:文章主表,"[""magnetic order"",""incommensurate spin density wave""]",,antiferromagnetic spin fluctuations,,1
sc_atlas:4217,doi_exact,,all_11200_article_features.xlsx:文章主表,"[""magnetic order"",""incommensurate spin density wave""]",,antiferromagnetic spin fluctuations,,1
sc_atlas:4218,doi_exact,,all_11200_article_features.xlsx:文章主表,"[""magnetic order"",""incommensurate spin density wave""]",,antiferromagnetic spin fluctuations,,1
sc_atlas:4225,doi_exact,,all_11200_article_features.xlsx:文章主表,,"[""s-wave"",""d_{xy} symmetry""]",charge-order fluctuations,,1
sc_atlas:4226,doi_exact,,all_11200_article_features.xlsx:文章主表,,"[""s-wave"",""d_{xy} symmetry""]",charge-order fluctuations,,1
sc_atlas:4229,doi_exact,,all_11200_article_features.xlsx:文章主表,,,electron–phonon coupling,,1
sc_atlas:4227,doi_exact,,all_11200_article_features.xlsx:文章主表,,,electron–phonon coupling,,1
