feature_index,feature_name,feature_block
1,MAGPIE.frac_sValence,composition_MAGPIE
2,MAGPIE.frac_pValence,composition_MAGPIE
3,MAGPIE.frac_dValence,composition_MAGPIE
4,MAGPIE.frac_fValence,composition_MAGPIE
5,MAGPIE.mean_Number,composition_MAGPIE
6,MAGPIE.maxdiff_Number,composition_MAGPIE
7,MAGPIE.dev_Number,composition_MAGPIE
8,MAGPIE.max_Number,composition_MAGPIE
9,MAGPIE.min_Number,composition_MAGPIE
10,MAGPIE.most_Number,composition_MAGPIE
11,MAGPIE.mean_MendeleevNumber,composition_MAGPIE
12,MAGPIE.maxdiff_MendeleevNumber,composition_MAGPIE
13,MAGPIE.dev_MendeleevNumber,composition_MAGPIE
14,MAGPIE.max_MendeleevNumber,composition_MAGPIE
15,MAGPIE.min_MendeleevNumber,composition_MAGPIE
16,MAGPIE.most_MendeleevNumber,composition_MAGPIE
17,MAGPIE.mean_AtomicWeight,composition_MAGPIE
18,MAGPIE.maxdiff_AtomicWeight,composition_MAGPIE
19,MAGPIE.dev_AtomicWeight,composition_MAGPIE
20,MAGPIE.max_AtomicWeight,composition_MAGPIE
21,MAGPIE.min_AtomicWeight,composition_MAGPIE
22,MAGPIE.most_AtomicWeight,composition_MAGPIE
23,MAGPIE.mean_Column,composition_MAGPIE
24,MAGPIE.maxdiff_Column,composition_MAGPIE
25,MAGPIE.dev_Column,composition_MAGPIE
26,MAGPIE.max_Column,composition_MAGPIE
27,MAGPIE.min_Column,composition_MAGPIE
28,MAGPIE.most_Column,composition_MAGPIE
29,MAGPIE.mean_Row,composition_MAGPIE
30,MAGPIE.maxdiff_Row,composition_MAGPIE
31,MAGPIE.dev_Row,composition_MAGPIE
32,MAGPIE.max_Row,composition_MAGPIE
33,MAGPIE.min_Row,composition_MAGPIE
34,MAGPIE.most_Row,composition_MAGPIE
35,MAGPIE.mean_CovalentRadius,composition_MAGPIE
36,MAGPIE.maxdiff_CovalentRadius,composition_MAGPIE
37,MAGPIE.dev_CovalentRadius,composition_MAGPIE
38,MAGPIE.max_CovalentRadius,composition_MAGPIE
39,MAGPIE.min_CovalentRadius,composition_MAGPIE
40,MAGPIE.most_CovalentRadius,composition_MAGPIE
41,MAGPIE.mean_NsValence,composition_MAGPIE
42,MAGPIE.maxdiff_NsValence,composition_MAGPIE
43,MAGPIE.dev_NsValence,composition_MAGPIE
44,MAGPIE.max_NsValence,composition_MAGPIE
45,MAGPIE.min_NsValence,composition_MAGPIE
46,MAGPIE.most_NsValence,composition_MAGPIE
47,MAGPIE.mean_NpValence,composition_MAGPIE
48,MAGPIE.maxdiff_NpValence,composition_MAGPIE
49,MAGPIE.dev_NpValence,composition_MAGPIE
50,MAGPIE.max_NpValence,composition_MAGPIE
51,MAGPIE.min_NpValence,composition_MAGPIE
52,MAGPIE.most_NpValence,composition_MAGPIE
53,MAGPIE.mean_NdValence,composition_MAGPIE
54,MAGPIE.maxdiff_NdValence,composition_MAGPIE
55,MAGPIE.dev_NdValence,composition_MAGPIE
56,MAGPIE.max_NdValence,composition_MAGPIE
57,MAGPIE.min_NdValence,composition_MAGPIE
58,MAGPIE.most_NdValence,composition_MAGPIE
59,MAGPIE.mean_NfValence,composition_MAGPIE
60,MAGPIE.maxdiff_NfValence,composition_MAGPIE
61,MAGPIE.dev_NfValence,composition_MAGPIE
62,MAGPIE.max_NfValence,composition_MAGPIE
63,MAGPIE.min_NfValence,composition_MAGPIE
64,MAGPIE.most_NfValence,composition_MAGPIE
65,MAGPIE.mean_NValance,composition_MAGPIE
66,MAGPIE.maxdiff_NValance,composition_MAGPIE
67,MAGPIE.dev_NValance,composition_MAGPIE
68,MAGPIE.max_NValance,composition_MAGPIE
69,MAGPIE.min_NValance,composition_MAGPIE
70,MAGPIE.most_NValance,composition_MAGPIE
71,MAGPIE.mean_NsUnfilled,composition_MAGPIE
72,MAGPIE.maxdiff_NsUnfilled,composition_MAGPIE
73,MAGPIE.dev_NsUnfilled,composition_MAGPIE
74,MAGPIE.max_NsUnfilled,composition_MAGPIE
75,MAGPIE.min_NsUnfilled,composition_MAGPIE
76,MAGPIE.most_NsUnfilled,composition_MAGPIE
77,MAGPIE.mean_NpUnfilled,composition_MAGPIE
78,MAGPIE.maxdiff_NpUnfilled,composition_MAGPIE
79,MAGPIE.dev_NpUnfilled,composition_MAGPIE
80,MAGPIE.max_NpUnfilled,composition_MAGPIE
81,MAGPIE.min_NpUnfilled,composition_MAGPIE
82,MAGPIE.most_NpUnfilled,composition_MAGPIE
83,MAGPIE.mean_NdUnfilled,composition_MAGPIE
84,MAGPIE.maxdiff_NdUnfilled,composition_MAGPIE
85,MAGPIE.dev_NdUnfilled,composition_MAGPIE
86,MAGPIE.max_NdUnfilled,composition_MAGPIE
87,MAGPIE.min_NdUnfilled,composition_MAGPIE
88,MAGPIE.most_NdUnfilled,composition_MAGPIE
89,MAGPIE.mean_NfUnfilled,composition_MAGPIE
90,MAGPIE.maxdiff_NfUnfilled,composition_MAGPIE
91,MAGPIE.dev_NfUnfilled,composition_MAGPIE
92,MAGPIE.max_NfUnfilled,composition_MAGPIE
93,MAGPIE.min_NfUnfilled,composition_MAGPIE
94,MAGPIE.most_NfUnfilled,composition_MAGPIE
95,MAGPIE.mean_NUnfilled,composition_MAGPIE
96,MAGPIE.maxdiff_NUnfilled,composition_MAGPIE
97,MAGPIE.dev_NUnfilled,composition_MAGPIE
98,MAGPIE.max_NUnfilled,composition_MAGPIE
99,MAGPIE.min_NUnfilled,composition_MAGPIE
100,MAGPIE.most_NUnfilled,composition_MAGPIE
101,MAGPIE.mean_GSvolume_pa,composition_MAGPIE
102,MAGPIE.maxdiff_GSvolume_pa,composition_MAGPIE
103,MAGPIE.dev_GSvolume_pa,composition_MAGPIE
104,MAGPIE.max_GSvolume_pa,composition_MAGPIE
105,MAGPIE.min_GSvolume_pa,composition_MAGPIE
106,MAGPIE.most_GSvolume_pa,composition_MAGPIE
107,MAGPIE.mean_GSbandgap,composition_MAGPIE
108,MAGPIE.maxdiff_GSbandgap,composition_MAGPIE
109,MAGPIE.dev_GSbandgap,composition_MAGPIE
110,MAGPIE.max_GSbandgap,composition_MAGPIE
111,MAGPIE.min_GSbandgap,composition_MAGPIE
112,MAGPIE.most_GSbandgap,composition_MAGPIE
113,MAGPIE.mean_GSmagmom,composition_MAGPIE
114,MAGPIE.maxdiff_GSmagmom,composition_MAGPIE
115,MAGPIE.dev_GSmagmom,composition_MAGPIE
116,MAGPIE.max_GSmagmom,composition_MAGPIE
117,MAGPIE.min_GSmagmom,composition_MAGPIE
118,MAGPIE.most_GSmagmom,composition_MAGPIE
