repetition,n_rows,n_chemical_systems,chemical_system_overlap,MSLE,MAE,RMSE,median_AE,r2,MSLE_unweighted,MAE_unweighted,RMSE_unweighted,r2_unweighted,r2_log1p_unweighted,cv,train_rows,test_rows,train_chemical_systems,test_chemical_systems,chemical_system_overlap_audit
0,4943,344,0,0.3344364355171388,6.706002865088654,12.185112437265849,4.264552205877781,0.7794061743760254,0.2961288993374883,7.299937030260216,12.187677667223642,0.7878226834659792,0.7633910319008068,CV_0,14951,4943,1375,344,0
1,3245,344,0,0.3305532815235118,8.894200765639482,16.860213289709883,3.576138716242632,0.7044778588067941,0.3152865548224783,9.355995208205986,16.052347473399625,0.7660417874427798,0.7969070258770282,CV_1,16649,3245,1375,344,0
2,3296,344,0,0.2874392128049383,5.949287383225153,11.302792324093383,2.57535403679148,0.7261716463789998,0.2486663416889702,4.952129623853788,9.059966677254126,0.7490172616952785,0.7706315208454518,CV_2,16598,3296,1375,344,0
3,3409,344,0,0.2376538294899643,5.745930518521915,11.458813985111188,2.1871572084051536,0.7852230202734466,0.2323152403064776,5.25687811805626,10.192261493270232,0.8011109635748191,0.8193698237010553,CV_3,16485,3409,1375,344,0
4,2893,344,0,0.2969428557264108,6.070924279837044,10.53273410788672,2.445807346708442,0.8238032744760687,0.2816081766832339,5.354650331176854,9.694854134656484,0.7902935325036831,0.7392985442516371,CV_4,17001,2893,1375,344,0
5,2923,344,0,0.2210459396147132,4.990256560105775,9.719036041512538,2.5749652813230157,0.805292352883757,0.2147517640798486,4.920425165404103,8.531733730343985,0.8189882484498283,0.8008825980859429,CV_5,16971,2923,1375,344,0
6,4505,344,0,0.2741417282595592,5.41162903092776,8.943277746127617,3.2186080298569504,0.7890037852067063,0.2544912917413227,4.842217772737098,8.033011003215167,0.7983032116769433,0.7651064124524328,CV_6,15389,4505,1375,344,0
7,3898,344,0,0.300546655216918,7.709450321272985,14.251937920948444,2.100575762756693,0.7231509321887962,0.3150782628003871,6.243818950715761,12.5732471824228,0.6931580286523878,0.7786607968496411,CV_7,15996,3898,1375,344,0
8,2980,344,0,0.1977013093436307,5.681059258890011,10.495893453805277,2.0272344530517272,0.8511872262925292,0.2394387162063064,4.577202671550846,8.719914817892578,0.8496731007959029,0.799825356929997,CV_8,16914,2980,1375,344,0
9,5695,344,0,0.2406565625951565,5.426030498589969,9.38646260956372,2.9771749227884494,0.7967861241013058,0.1900811203210049,4.591497882786902,7.436614385930815,0.7948350569340081,0.8035483387547455,CV_9,14199,5695,1375,344,0
