dataset,features,model,repetition,split,n_rows,n_features_used,n_chemical_systems,chemical_system_overlap,MSLE,MAE,r2,RMSE,median_AE,MAE_unweighted,RMSE_unweighted,r2_unweighted,MSLE_unweighted,r2_log1p_unweighted
01_exact_cif_only,MAGPIE,XGB,0,train,14951,177,1375,0,0.027645875004070387,1.9723306754739554,0.9742748883240011,3.9328531771507436,1.042875269047375,2.5140709128502015,5.397478334223344,0.9326790544867392,0.07651119489379009,0.9338550433458686
01_exact_cif_only,MAGPIE,XGB,0,test,4943,177,344,0,0.33443643551713886,6.706002865088654,0.7794061743760254,12.185112437265847,4.264552205877781,7.2999370302602165,12.187677667223642,0.7878226834659792,0.29612889933748837,0.7633910319008068
01_exact_cif_only,MAGPIE,XGB,1,train,16649,177,1375,0,0.02930652096109673,1.9278694873687676,0.9710079308167137,3.9283117244022545,1.0933484266727902,2.541929933168792,5.370841684792902,0.9222427526132507,0.0774505517846492,0.9304954844202371
01_exact_cif_only,MAGPIE,XGB,1,test,3245,177,344,0,0.3305532815235118,8.894200765639482,0.7044778588067941,16.860213289709883,3.5761387162426317,9.355995208205986,16.052347473399625,0.7660417874427798,0.3152865548224783,0.7969070258770282
01_exact_cif_only,MAGPIE,XGB,2,train,16598,177,1375,0,0.03186540261968235,2.161942250543709,0.970089659128735,4.398191103140177,1.18411339889533,2.9010013457402977,6.15278815253984,0.9296240263692928,0.08180191630415778,0.9321762451262084
01_exact_cif_only,MAGPIE,XGB,2,test,3296,177,344,0,0.2874392128049383,5.949287383225153,0.7261716463789998,11.302792324093385,2.5753540367914796,4.952129623853788,9.059966677254126,0.7490172616952785,0.24866634168897025,0.7706315208454518
01_exact_cif_only,MAGPIE,XGB,3,train,16485,177,1375,0,0.0334369523727919,2.1949598469828904,0.9674359026613851,4.493530203561356,1.238163686887967,2.924809943790797,6.11785502730606,0.9257762711164306,0.0888092207135926,0.9245807250648946
01_exact_cif_only,MAGPIE,XGB,3,test,3409,177,344,0,0.23765382948996436,5.745930518521915,0.7852230202734466,11.458813985111187,2.1871572084051536,5.25687811805626,10.192261493270232,0.8011109635748191,0.23231524030647768,0.8193698237010553
01_exact_cif_only,MAGPIE,XGB,4,train,17001,177,1375,0,0.03161989623549642,2.1270964740185634,0.969807510897533,4.314828824819985,1.2001452672462904,2.817362196333372,5.867606743375619,0.9333701187632647,0.0838337175345175,0.9309774021488253
01_exact_cif_only,MAGPIE,XGB,4,test,2893,177,344,0,0.2969428557264108,6.070924279837044,0.8238032744760687,10.53273410788672,2.445807346708442,5.354650331176854,9.694854134656484,0.7902935325036831,0.28160817668323396,0.7392985442516371
01_exact_cif_only,MAGPIE,XGB,5,train,16971,177,1375,0,0.03196139592586701,2.1934595522854905,0.96987276561873,4.401910273144009,1.1639199292532538,2.8382768017282016,5.969892706676514,0.931859864101041,0.07843133642365811,0.9352190323074945
01_exact_cif_only,MAGPIE,XGB,5,test,2923,177,344,0,0.22104593961471325,4.990256560105775,0.805292352883757,9.719036041512538,2.5749652813230153,4.920425165404103,8.531733730343985,0.8189882484498283,0.21475176407984867,0.8008825980859429
01_exact_cif_only,MAGPIE,XGB,6,train,15389,177,1375,0,0.031605005174832064,2.178246712575459,0.9704800670896241,4.512662528612662,1.2068842974149376,2.9217220498217493,6.151977822042669,0.9322553829026956,0.08620012042372852,0.9296995821362454
01_exact_cif_only,MAGPIE,XGB,6,test,4505,177,344,0,0.2741417282595592,5.4116290309277595,0.7890037852067063,8.943277746127617,3.2186080298569504,4.842217772737098,8.033011003215167,0.7983032116769433,0.2544912917413227,0.7651064124524328
01_exact_cif_only,MAGPIE,XGB,7,train,15996,177,1375,0,0.03130157962864878,2.024239486846225,0.9708450214000527,4.155570292174581,1.1518774999730468,2.7980457104471683,6.043022929340665,0.927213713887218,0.08593963903148095,0.9242429521042962
01_exact_cif_only,MAGPIE,XGB,7,test,3898,177,344,0,0.300546655216918,7.709450321272985,0.7231509321887962,14.251937920948443,2.1005757627566934,6.243818950715761,12.5732471824228,0.6931580286523878,0.3150782628003871,0.7786607968496411
01_exact_cif_only,MAGPIE,XGB,8,train,16914,177,1375,0,0.03440804640455316,2.197573546161631,0.9663312649284268,4.444432787359221,1.3021616285321538,2.999926377475189,6.181587792541587,0.9243882701922883,0.0868524105926498,0.9264800893973519
01_exact_cif_only,MAGPIE,XGB,8,test,2980,177,344,0,0.1977013093436307,5.681059258890011,0.8511872262925292,10.495893453805275,2.0272344530517272,4.577202671550846,8.719914817892578,0.8496731007959029,0.23943871620630644,0.799825356929997
01_exact_cif_only,MAGPIE,XGB,9,train,14199,177,1375,0,0.03187141932264314,2.1516952169017025,0.9703486458360034,4.463544451982433,1.143584628112059,2.924104148113547,6.4420997281617725,0.9311485917968568,0.09542431872898151,0.9252357289842587
01_exact_cif_only,MAGPIE,XGB,9,test,5695,177,344,0,0.2406565625951565,5.426030498589969,0.7967861241013058,9.38646260956372,2.9771749227884494,4.591497882786902,7.436614385930815,0.7948350569340081,0.19008112032100496,0.8035483387547455
